Date,Close,Volume
13-03-2017,52.6553,9090230
14-03-2017,52.3083,7892888
15-03-2017,52.5686,8712006
16-03-2017,52.8192,8074278
17-03-2017,53.7637,15822141
20-03-2017,53.7927,7948425
21-03-2017,53.5324,8030642
22-03-2017,53.8698,8452070
23-03-2017,53.8312,7357207
24-03-2017,54.7565,15763000
27-03-2017,55.1613,8861799
28-03-2017,55.277,8331644
29-03-2017,55.4601,7001635
30-03-2017,56.0577,8677916
31-03-2017,56.2794,9156707
03-04-2017,56.3276,8989831
04-04-2017,56.2119,6474781
05-04-2017,56.1155,13656221
06-04-2017,55.8264,9112533
07-04-2017,55.9228,6773750
10-04-2017,55.8553,5266312
11-04-2017,55.7878,5855091
12-04-2017,55.4987,5450298
13-04-2017,55.4312,4871717
17-04-2017,55.9806,5626042
18-04-2017,56.2409,5449699
19-04-2017,56.9059,12000639
20-04-2017,57.9083,12445862
21-04-2017,58.4192,8799985
24-04-2017,58.9011,10721276
25-04-2017,58.7565,11031475
26-04-2017,59.3348,8525419
27-04-2017,59.0842,15285342
28-04-2017,57.889,25046130
01-05-2017,58.0047,10910341
02-05-2017,58.3131,9152088
03-05-2017,58.3999,7706367
04-05-2017,58.6312,6874286
05-05-2017,58.7469,6443309
08-05-2017,58.7372,5588371
09-05-2017,59.0179,5806562
10-05-2017,58.7082,7198414
11-05-2017,58.3307,5516893
12-05-2017,58.0017,5647531
15-05-2017,58.5049,5904094
16-05-2017,58.0501,6303480
17-05-2017,57.8081,7581230
18-05-2017,57.8952,8602411
19-05-2017,59.3856,12530995
22-05-2017,59.2598,6392124
23-05-2017,59.1824,5622524
24-05-2017,59.8986,7283789
25-05-2017,60.8761,8931804
26-05-2017,61.2632,6097990
30-05-2017,61.2245,7094586
31-05-2017,61.5633,7314634
01-06-2017,61.6987,6058263
02-06-2017,62.4924,7840374
05-06-2017,62.202,6809284
06-06-2017,62.0956,5448439
07-06-2017,61.4568,8364994
08-06-2017,60.2373,11289266
09-06-2017,60.1889,11240487
12-06-2017,59.3179,11071593
13-06-2017,58.9598,9384906
14-06-2017,58.3307,9703332
15-06-2017,58.1565,7515980
16-06-2017,58.2049,11522438
19-06-2017,58.9404,6778024
20-06-2017,57.9339,6985666
21-06-2017,58.0307,6027647
22-06-2017,57.5952,5602002
23-06-2017,57.8855,6469495
26-06-2017,57.721,5674637
27-06-2017,57.0629,5652429
28-06-2017,57.2758,5419169
29-06-2017,56.4822,7421177
30-06-2017,56.4338,8117066
03-07-2017,56.3757,4575268
05-07-2017,56.0757,7773566
06-07-2017,55.7466,8886648
07-07-2017,56.1725,7278250
10-07-2017,55.9499,4832094
11-07-2017,56.037,5422330
12-07-2017,56.6564,7141916
13-07-2017,56.5015,8460245
14-07-2017,56.8693,5441377
17-07-2017,56.4531,6774471
18-07-2017,56.337,7857464
19-07-2017,56.2402,8203557
20-07-2017,56.1628,10546701
21-07-2017,56.1144,6717235
24-07-2017,56.1531,7442589
25-07-2017,56.6661,7933137
26-07-2017,56.0757,8775889
27-07-2017,57.5855,23286716
28-07-2017,52.2625,53454789
31-07-2017,52.2431,20299407
01-08-2017,52.969,18120912
02-08-2017,53.6465,14764854
03-08-2017,53.8884,13331459
04-08-2017,53.6561,9179779
07-08-2017,53.84,7253947
08-08-2017,53.0039,11095259
09-08-2017,52.2456,16717719
10-08-2017,51.5943,13235301
11-08-2017,51.7012,9235033
14-08-2017,51.7401,7426467
15-08-2017,51.672,6674597
16-08-2017,52.0123,7667081
17-08-2017,51.5651,7451679
18-08-2017,51.2345,10370499
21-08-2017,51.672,12753196
22-08-2017,52.9359,14547613
23-08-2017,52.5762,11838533
24-08-2017,52.4401,8716699
25-08-2017,52.8484,8601120
28-08-2017,52.8873,6643652
29-08-2017,52.5956,6212403
30-08-2017,53.0039,5596567
31-08-2017,53.3345,8245287
01-09-2017,53.4025,7696302
05-09-2017,53.597,9178048
06-09-2017,52.7998,11372298
07-09-2017,51.9831,13801890
08-09-2017,52.0026,11774483
11-09-2017,52.5178,9314079
12-09-2017,52.0512,10339446
13-09-2017,52.7803,12787883
14-09-2017,53.0137,8260770
15-09-2017,53.1498,10744783
18-09-2017,53.1692,6348360
19-09-2017,53.1012,5187121
20-09-2017,53.6164,7080035
21-09-2017,53.4803,7178462
22-09-2017,53.5581,6950029
25-09-2017,53.422,10242655
26-09-2017,53.597,8021851
27-09-2017,53.4609,8671309
28-09-2017,52.9845,7607473
29-09-2017,52.2165,11944370
02-10-2017,52.3137,5955980
03-10-2017,52.4887,6137069
04-10-2017,52.4303,5569058
05-10-2017,53.0817,7994274
06-10-2017,53.6359,10576278
09-10-2017,53.49,5822893
10-10-2017,53.8789,6573918
11-10-2017,54.0928,8881897
12-10-2017,54.4136,7234267
13-10-2017,54.1706,6231132
16-10-2017,53.3831,7256893
17-10-2017,52.9942,11227337
18-10-2017,53.6747,8299509
19-10-2017,53.8595,5720179
20-10-2017,53.0525,11741092
23-10-2017,52.7609,10111071
24-10-2017,52.7706,7818490
25-10-2017,52.6539,8281219
26-10-2017,53.3831,12211440
27-10-2017,53.3539,9922611
30-10-2017,53.6359,6430949
31-10-2017,53.315,8857829
01-11-2017,53.597,7189764
02-11-2017,53.3442,16879022
03-11-2017,54.4719,28773774
06-11-2017,54.9969,10835659
07-11-2017,55.6289,11167447
08-11-2017,56.2997,13533654
09-11-2017,55.765,14758907
10-11-2017,55.4539,7930318
13-11-2017,55.065,7648192
14-11-2017,55.3469,7758215
15-11-2017,55.4154,8880505
16-11-2017,55.9431,8310611
17-11-2017,55.6401,6311519
20-11-2017,55.5229,6360086
21-11-2017,55.9627,6284259
22-11-2017,55.8454,7309073
24-11-2017,55.5131,3479177
27-11-2017,54.6433,10580296
28-11-2017,55.3763,9734431
29-11-2017,56.207,10017914
30-11-2017,56.51,11509224
01-12-2017,56.0213,12756391
04-12-2017,57.4287,13302050
05-12-2017,57.9955,11295644
06-12-2017,57.9369,8458198
07-12-2017,57.8001,6033792
08-12-2017,57.2821,9950491
11-12-2017,57.7317,10286560
12-12-2017,57.9271,6042917
13-12-2017,58.1421,7726299
14-12-2017,58.3474,8946111
15-12-2017,56.9693,22595018
18-12-2017,56.7152,8751620
19-12-2017,56.6957,7946435
20-12-2017,56.422,7188717
21-12-2017,56.2754,5974474
22-12-2017,56.0018,7148723
26-12-2017,55.8454,5546208
27-12-2017,55.9724,4812173
28-12-2017,56.5002,5044505
29-12-2017,56.1288,5365646
02-01-2018,56.3243,7215978
03-01-2018,57.3798,7478356
04-01-2018,57.5948,5775921
05-01-2018,58.2594,6047686
08-01-2018,57.9662,6335782
09-01-2018,57.8392,5233353
10-01-2018,58.4647,8656454
11-01-2018,58.6406,5806282
12-01-2018,59.0315,6989075
16-01-2018,59.1879,8040748
17-01-2018,59.2856,8433771
18-01-2018,59.7059,9170903
19-01-2018,59.872,8361853
22-01-2018,60.0186,11945783
23-01-2018,60.2923,10806783
24-01-2018,59.4518,11911867
25-01-2018,59.1781,16225618
26-01-2018,56.6761,51851690
29-01-2018,55.7281,18899867
30-01-2018,55.8943,14341155
31-01-2018,55.5229,13118364
01-02-2018,54.7312,14690146
02-02-2018,54.5064,15358909
05-02-2018,53.4509,16059955
06-02-2018,54.3501,17415065
07-02-2018,53.5148,13927022
08-02-2018,52.8368,17736671
09-02-2018,53.6327,19382011
12-02-2018,54.4189,10968956
13-02-2018,54.7038,10416385
14-02-2018,55.0183,14190323
15-02-2018,55.598,10294949
16-02-2018,55.4998,10151328
20-02-2018,54.9986,9450906
21-02-2018,55.1264,7850950
22-02-2018,54.4385,10172399
23-02-2018,55.1657,11394350
26-02-2018,56.1778,8713847
27-02-2018,55.5882,8821414
28-02-2018,56.109,11541059
01-03-2018,55.1951,11127627
02-03-2018,55.9419,11555132
05-03-2018,56.0009,7835398
06-03-2018,56.0402,8046794
07-03-2018,56.0402,7044099
08-03-2018,56.4726,7434706
09-03-2018,57.4454,9539617
12-03-2018,58.3691,10550283
13-03-2018,58.0252,10411354
14-03-2018,57.809,6488531
15-03-2018,58.3396,7377036
16-03-2018,57.976,13030896
19-03-2018,57.2882,9350572
20-03-2018,57.6419,5888445
21-03-2018,57.4552,6569109
22-03-2018,56.7674,6846463
